Model_Architecture,Accuracy,Precision,Recall,F1,Kappa
Net1_50ep,0.5445544554455446,0.5775105450105451,0.5509848484848485,0.5432543396725319,0.4920739040122445
Net1_100ep,0.49504950495049505,0.49936507936507935,0.5070562770562771,0.49279209461562407,0.43674138873701474
Net2_50ep,0.4752475247524752,0.48690242763772174,0.5094805194805195,0.4868915985028517,0.4150366080209814
Net2_100ep,0.5148514851485149,0.5365242763772176,0.5289285714285714,0.5175719161623791,0.45681044890791356
Net3_50ep,0.6039603960396039,0.6069677871148459,0.6298809523809524,0.6063914572437927,0.5583734149540883
Net3_100ep,0.6435643564356436,0.6468993506493508,0.6691666666666667,0.6415634170897329,0.6025795168870915
Net4_50ep,0.6336633663366337,0.6473519536019536,0.6603571428571429,0.6369468494468494,0.5908244826453519
Net4_100ep,0.693069306930693,0.700228243978244,0.7032142857142858,0.6829489537382766,0.6565756279477899
Net5_LSTM,0.5445544554455446,0.5759523809523809,0.5637229437229437,0.5189533072291692,0.49384464538620776
Net6_LSTM_GAN,0.5445544554455446,0.574935064935065,0.5546212121212121,0.5406833745964181,0.49079351161771156
